DAY,GAMA_F1,GAMA_F2,GAMA_F3,GAMA_F4,GAMA_F5,GAMA_F6,GAMA_F7,GAMA_F8,GAMA_F9,GAMA_F10,GAMA_F11,GAMA_F12,GAMA_F13,GAMA_F14,GAMA_F15,GAMA_F16,xI_F1,xI_F2,xI_F3,xI_F4,xI_F5,xI_F6,xI_F7,xI_F8,xI_F9,xI_F10,xI_F11,xI_F12,xI_F13,xI_F14,xI_F15,xI_F16,xA_F1,xA_F2,xA_F3,xA_F4,xA_F5,xA_F6,xA_F-,xA_F8,xA_F9,xA_F10,xA_F11,xA_F12,xA_F13,xA_F14,xA_F15,xA_F16,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX
1.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696865673188729,0.4969745951456114,0.18829206167373613,0.24923225212145653,0.25084821446920796,0.2754520116605723,0.4811091658738337,0.3385874497425066,0.19589047784205768,0.12414017837789322,0.12893079028548957,0.049771366329072114,0.04875238974550393,0.04053854280217742,0.0989921131248852,0.035704849514195516
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331100906044054,1.3312529524797356,0.36474284568349236,0.1747081318372709,0.04816686564901632,0.143675542690102,0.24735407793195832,0.2906561653166689,0.2925348473001568,0.09548720908619868,0.09867136294746782,0.033031867918496154,0.084628834438486,0.06184885687828991,0.03484279651537403,0.030184257450716897
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07838431526778485,0.3276406381132952,1.8820713202674824,0.5567650642784355,0.07539248433101024,0.05307090434066776,0.0926279331993631,0.3142385765793437,0.5010933664817143,0.20251265772210408,0.09055508475433033,0.02638438304984057,0.021262723657409565,0.04544643627496897,0.03505973788200114,0.007757414095143368
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10669930297959827,0.14652006029063777,0.9876605937628723,3.334483296237555,0.9715667791766366,0.20164080455123085,0.11183398028505834,0.41691633128854744,0.6558068780192658,0.609093435204344,0.30143702310324316,0.08432051034224086,0.04323273914965142,0.030786036400447803,0.05329343566971803,0.006998672778477869
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14125238991344263,0.04244593456083131,0.10907214035517558,1.2165186777352457,2.2420555168188385,0.7346773896541703,0.34885761076113864,0.3498637471458842,0.43818009481984477,0.4419640940552925,0.2708517706039241,0.1321201428014189,0.04814370158571796,0.029224150066119513,0.0365571061700372,0.014022160084688656
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2977794149127965,0.1539806589466298,0.0888731705254367,0.24308516456929613,1.0261904096959147,1.355295473957867,0.7429146624488001,0.45751557842434415,0.37557973675775597,0.5362933824591031,0.3469840789544332,0.2247908629310572,0.09872597623915613,0.05074061561867418,0.04605392994862794,0.024563485699398972
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6111885697361489,0.3936946714704371,0.14397109962049529,0.1599921373773203,0.5189616464437973,1.0098917737301372,1.557319095180398,1.0448781106136038,1.0121570926068848,0.4228003222590619,0.42199620557007583,0.20663130874201321,0.15052083090691706,0.10886979508529805,0.08969779616954189,0.06370252963326074
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312056531390127,0.5396330788359867,0.7046430788958347,0.7740712433762877,0.3649053247539861,0.4032577227671363,0.7121382122348223,1.4866354922297207,1.0163583581728952,0.5701032208279564,0.32858379236235763,0.22684687478857787,0.13589360221009886,0.13802687525281618,0.16735414364490725,0.035326939757068423
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14814486119983694,0.38795277765884906,0.8695441865211251,1.3498865085502183,0.6136627649536716,0.3599501928098281,0.49564929249733647,0.7840886922910245,1.2204723252163618,0.8488414135203325,0.40163067139392966,0.1814962610404117,0.157713028609562,0.14700247961532512,0.10085540910633972,0.049651206960824326
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09961998144072837,0.08856455453817347,0.5014634429299556,1.800145962553839,0.5345270507649589,0.5458753127282284,0.47971938431391625,0.7136335053965615,0.9903640523184001,1.0936374211881406,0.5438334503118685,0.2430587225307206,0.12323683910173276,0.0948450297279049,0.1703062621847753,0.03179015674675884
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3616288744964996,0.44924056243095484,0.27623121597843636,1.1689076906468303,0.7812848364096762,0.7837825225079936,0.5720558987858578,0.6005089823162465,1.0387613340786601,1.2011869000050641,1.132204206677034,0.5751739078130108,0.183642149942538,0.138899268080808,0.07526614910289023,0.08428260457211743
