Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,574000,556000,548000,511000,563000,749000,861000,712000,706000,876000,853000,678000,556000,505000,327000,425000
Mortalidade por cem mill habitantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalidade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
